epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1033,2.03949,1.12608,1.20329,0.74575,0.81668,0.84799,0.58964,1.61144,1.65233,0.99971,0.06755,0.000327778,0.000327778
2,28.3535,1.7689,1.00159,1.09076,0.88909,0.91032,0.95474,0.6549,1.70756,1.61875,0.99558,0.0345499,0.000661039,0.000661039
3,41.4316,1.63044,0.81547,1.02498,0.90899,0.92569,0.9592,0.70448,1.359,0.8917,0.95053,0.00154957,0.000994013,0.000994013
4,54.3789,1.56575,0.7616,1.02381,0.93426,0.93548,0.96247,0.65094,1.68431,1.15436,0.97293,0.000999023,0.000999023,0.000999023
5,67.2016,1.55828,0.92914,1.01988,0.91193,0.9214,0.96679,0.74771,1.28231,0.86284,0.93087,0.000998264,0.000998264,0.000998264
6,80.6445,1.67221,0.91803,1.02218,0.87571,0.84067,0.91985,0.66283,1.67887,1.12664,1.0298,0.000997288,0.000997288,0.000997288
7,93.215,1.62454,0.7566,1.02149,0.93215,0.93245,0.97127,0.72855,1.42634,0.65334,0.97233,0.000996097,0.000996097,0.000996097
8,105.731,1.56809,0.64306,1.01947,0.93994,0.94416,0.9734,0.71828,1.37615,0.63434,0.96866,0.00099469,0.00099469,0.00099469
9,118.343,1.72023,0.70917,1.05477,0.9457,0.93711,0.97575,0.68825,1.63838,0.63863,0.98394,0.000993068,0.000993068,0.000993068
10,131.013,1.62588,0.64045,1.03354,0.94291,0.93881,0.97889,0.67097,1.78606,0.64506,1.00566,0.000991232,0.000991232,0.000991232
11,143.651,1.42614,0.58054,0.99146,0.96587,0.95578,0.98555,0.71508,1.49019,0.55836,0.93925,0.000989183,0.000989183,0.000989183
12,156.14,1.33184,0.54323,0.96238,0.9289,0.9587,0.97963,0.72865,1.46179,0.54451,0.93493,0.000986922,0.000986922,0.000986922
13,168.735,1.39056,0.55079,0.98498,0.94952,0.9376,0.97878,0.76713,1.28741,0.54552,0.92799,0.000984449,0.000984449,0.000984449
14,181.894,1.33718,0.53616,0.97076,0.96543,0.96918,0.98697,0.76081,1.32338,0.50092,0.91354,0.000981765,0.000981765,0.000981765
15,194.578,1.27973,0.5186,0.95426,0.92926,0.96081,0.97118,0.78822,1.15284,0.51038,0.9043,0.000978873,0.000978873,0.000978873
16,208.071,1.27749,0.50645,0.94932,0.96827,0.96296,0.9866,0.77777,1.20434,0.4963,0.89547,0.000975773,0.000975773,0.000975773
17,221.068,1.31472,0.50485,0.95142,0.96795,0.96832,0.98807,0.75125,1.46803,0.52301,0.91536,0.000972466,0.000972466,0.000972466
18,233.856,1.31881,0.49482,0.95326,0.94766,0.96162,0.98473,0.75404,1.36615,0.52413,0.91739,0.000968955,0.000968955,0.000968955
19,246.561,1.27566,0.48794,0.95162,0.96115,0.96248,0.98471,0.75989,1.37269,0.50306,0.91108,0.000965239,0.000965239,0.000965239
20,259.205,1.36031,0.49106,0.95485,0.96173,0.96949,0.98325,0.74024,1.43068,0.50135,0.91224,0.000961322,0.000961322,0.000961322
21,272.213,1.29473,0.48919,0.95184,0.97657,0.97069,0.9867,0.67406,1.84951,0.55096,0.93949,0.000957205,0.000957205,0.000957205
22,284.906,1.28465,0.48529,0.95058,0.97654,0.96944,0.99076,0.66847,1.86483,0.5279,0.94252,0.000952889,0.000952889,0.000952889
23,297.421,1.26647,0.47155,0.94093,0.96156,0.97307,0.98614,0.7986,1.18452,0.46602,0.89185,0.000948377,0.000948377,0.000948377
24,310.494,1.2374,0.46744,0.94032,0.92954,0.93415,0.96683,0.73698,1.43158,0.54138,0.92484,0.000943671,0.000943671,0.000943671
25,322.926,1.28859,0.46718,0.95031,0.9707,0.96463,0.98682,0.77915,1.31908,0.47975,0.88906,0.000938772,0.000938772,0.000938772
26,335.386,1.23309,0.46082,0.93123,0.96127,0.96273,0.98692,0.75991,1.37753,0.49911,0.90816,0.000933683,0.000933683,0.000933683
27,348.259,1.26767,0.46746,0.93933,0.96957,0.96855,0.98746,0.73533,1.53966,0.51854,0.91106,0.000928405,0.000928405,0.000928405
28,361.331,1.35432,0.47908,0.95797,0.96238,0.97125,0.98505,0.67605,1.83654,0.53116,0.93795,0.000922942,0.000922942,0.000922942
29,373.985,1.30745,0.47334,0.9503,0.93705,0.95,0.97422,0.8024,1.07357,0.48626,0.8945,0.000917296,0.000917296,0.000917296
30,386.979,1.33423,0.47398,0.95778,0.96363,0.96888,0.98793,0.72556,1.55176,0.51234,0.90921,0.000911469,0.000911469,0.000911469
31,399.744,1.24647,0.46159,0.93999,0.96963,0.97413,0.99016,0.70711,1.66919,0.53071,0.91531,0.000905463,0.000905463,0.000905463
32,412.642,1.23663,0.44799,0.93392,0.97712,0.97495,0.99153,0.6842,1.7746,0.51079,0.92143,0.000899282,0.000899282,0.000899282
33,425.395,1.3423,0.47349,0.94818,0.97278,0.96554,0.99015,0.81559,1.11057,0.45365,0.88581,0.000892928,0.000892928,0.000892928
34,438.505,1.45243,0.49136,0.97135,0.94998,0.95085,0.98141,0.72765,1.54325,0.53327,0.91557,0.000886404,0.000886404,0.000886404
