epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2132,2.20439,1.70096,1.20071,0.72933,0.7469,0.80568,0.52007,1.82577,1.19793,1.04187,0.06755,0.000327778,0.000327778
2,18.5421,1.89828,1.35048,1.08939,0.74976,0.87658,0.83143,0.54641,1.66846,1.06526,0.94859,0.0345499,0.000661039,0.000661039
3,24.7252,1.84275,1.03304,1.04784,0.8675,0.85022,0.934,0.66539,1.64658,0.86785,0.96654,0.00154957,0.000994013,0.000994013
4,31.166,1.8009,0.98865,1.05361,0.93785,0.92446,0.97051,0.68906,1.60423,0.78969,0.9845,0.000999023,0.000999023,0.000999023
5,38.316,1.95968,0.99186,1.08478,0.8878,0.8847,0.94516,0.54813,2.15154,0.93527,1.07502,0.000998264,0.000998264,0.000998264
6,44.4789,1.81827,0.92568,1.04301,0.94228,0.9165,0.96989,0.52959,2.36327,0.8812,1.04191,0.000997288,0.000997288,0.000997288
7,50.5043,1.60009,0.82829,1.01026,0.94485,0.92616,0.97721,0.5436,2.4038,0.82751,1.0369,0.000996097,0.000996097,0.000996097
8,56.6922,1.5243,0.79318,0.99394,0.95513,0.93706,0.97988,0.57147,2.21779,0.78329,1.00247,0.00099469,0.00099469,0.00099469
9,63.1648,1.55771,0.75039,1.00385,0.94773,0.94689,0.97846,0.66295,1.73018,0.7121,0.95694,0.000993068,0.000993068,0.000993068
10,70.1296,1.53703,0.71178,0.99879,0.95329,0.95086,0.98238,0.66854,1.77142,0.6722,0.95719,0.000991232,0.000991232,0.000991232
11,76.2183,1.61434,0.70131,1.00622,0.93667,0.92337,0.97282,0.70231,1.58146,0.68442,0.97965,0.000989183,0.000989183,0.000989183
12,82.557,1.64527,0.71486,1.00782,0.96161,0.95434,0.98143,0.63916,1.98909,0.73903,1.00334,0.000986922,0.000986922,0.000986922
13,88.5144,1.53365,0.70337,0.99121,0.96645,0.95954,0.98744,0.65106,1.86239,0.67114,0.94431,0.000984449,0.000984449,0.000984449
14,94.679,1.45562,0.65743,0.9685,0.95945,0.95504,0.98314,0.65379,1.8502,0.68429,0.94518,0.000981765,0.000981765,0.000981765
15,100.764,1.40539,0.6361,0.95583,0.97104,0.9597,0.98508,0.63874,1.90622,0.66396,0.94648,0.000978873,0.000978873,0.000978873
16,107.508,1.43876,0.63509,0.96961,0.96314,0.96172,0.9861,0.63743,1.97241,0.65961,0.94894,0.000975773,0.000975773,0.000975773
17,113.457,1.44548,0.62807,0.96147,0.95399,0.95667,0.97826,0.72618,1.45302,0.63705,0.91772,0.000972466,0.000972466,0.000972466
18,119.846,1.49746,0.62145,0.96764,0.95755,0.95854,0.98602,0.75949,1.35855,0.60154,0.93277,0.000968955,0.000968955,0.000968955
19,126.231,1.49427,0.62428,0.97719,0.97206,0.96063,0.98704,0.60775,2.12235,0.67036,0.95221,0.000965239,0.000965239,0.000965239
20,132.463,1.3532,0.58478,0.9428,0.97432,0.97065,0.99,0.65185,1.9158,0.64509,0.93528,0.000961322,0.000961322,0.000961322
21,138.73,1.33516,0.57741,0.94934,0.96997,0.96017,0.98953,0.72601,1.47447,0.59593,0.92958,0.000957205,0.000957205,0.000957205
22,144.829,1.33126,0.56304,0.94707,0.95721,0.9639,0.98584,0.76963,1.30457,0.56269,0.91236,0.000952889,0.000952889,0.000952889
23,150.986,1.41607,0.581,0.95349,0.95685,0.971,0.98671,0.78154,1.22074,0.56013,0.89816,0.000948377,0.000948377,0.000948377
24,157.022,1.51848,0.57544,0.9693,0.9744,0.96632,0.99107,0.56414,2.42039,0.6806,0.9866,0.000943671,0.000943671,0.000943671
25,163.15,1.38923,0.56396,0.95077,0.96717,0.97452,0.98941,0.74583,1.42509,0.5564,0.89779,0.000938772,0.000938772,0.000938772
26,169.256,1.28288,0.54498,0.93671,0.96787,0.96995,0.98922,0.7511,1.37811,0.56429,0.9089,0.000933683,0.000933683,0.000933683
27,175.221,1.27978,0.55165,0.93368,0.97119,0.96855,0.98958,0.72648,1.55313,0.55451,0.90399,0.000928405,0.000928405,0.000928405
28,181.186,1.27212,0.53131,0.93433,0.97023,0.97186,0.98955,0.76096,1.42304,0.55362,0.90245,0.000922942,0.000922942,0.000922942
29,187.348,1.30854,0.53608,0.93291,0.96884,0.97043,0.98955,0.74096,1.41441,0.53688,0.89485,0.000917296,0.000917296,0.000917296
30,193.559,1.30009,0.52643,0.93637,0.97432,0.97222,0.99033,0.69905,1.64614,0.5592,0.90449,0.000911469,0.000911469,0.000911469
31,199.318,1.25715,0.50934,0.92791,0.96754,0.97298,0.98987,0.70624,1.69015,0.56107,0.91359,0.000905463,0.000905463,0.000905463
32,205.373,1.24814,0.50859,0.91888,0.9785,0.97514,0.99083,0.69007,1.71708,0.55027,0.90652,0.000899282,0.000899282,0.000899282
33,211.521,1.28411,0.5138,0.9267,0.96872,0.96879,0.98838,0.77228,1.32675,0.52457,0.89237,0.000892928,0.000892928,0.000892928
34,217.809,1.39594,0.53159,0.94748,0.94971,0.96716,0.98631,0.78262,1.20578,0.55807,0.90582,0.000886404,0.000886404,0.000886404
35,223.974,1.36322,0.5374,0.94142,0.97242,0.97508,0.99022,0.69227,1.71316,0.56729,0.91363,0.000879713,0.000879713,0.000879713
36,229.872,1.25849,0.50004,0.92634,0.9707,0.97694,0.99072,0.67862,1.85806,0.56408,0.92219,0.000872857,0.000872857,0.000872857
37,236.065,1.2633,0.50103,0.92285,0.96417,0.97345,0.98838,0.7903,1.19879,0.49563,0.8818,0.000865839,0.000865839,0.000865839
38,242.452,1.22942,0.48947,0.9285,0.97548,0.97311,0.99104,0.76118,1.37931,0.49377,0.8915,0.000858664,0.000858664,0.000858664
39,248.468,1.28458,0.49946,0.92919,0.97072,0.97345,0.99092,0.65178,1.99801,0.57233,0.93553,0.000851333,0.000851333,0.000851333
40,254.789,1.2029,0.48887,0.91332,0.97728,0.97391,0.99111,0.6441,1.94852,0.57175,0.92854,0.000843851,0.000843851,0.000843851
41,261.034,1.2621,0.48954,0.91928,0.96661,0.97115,0.98981,0.79598,1.18124,0.50576,0.8783,0.00083622,0.00083622,0.00083622
42,267.266,1.28779,0.50673,0.93157,0.96685,0.97144,0.98985,0.73701,1.51769,0.52733,0.90505,0.000828443,0.000828443,0.000828443
43,273.232,1.22121,0.48088,0.92048,0.97865,0.97647,0.99262,0.76489,1.356,0.48648,0.88207,0.000820525,0.000820525,0.000820525
44,279.244,1.21535,0.47565,0.9155,0.97187,0.97368,0.99104,0.78671,1.24163,0.50095,0.8779,0.000812468,0.000812468,0.000812468
45,285.19,1.18837,0.47901,0.90778,0.97262,0.97647,0.99111,0.74244,1.49582,0.50882,0.88798,0.000804277,0.000804277,0.000804277
46,291.327,1.18856,0.47159,0.91122,0.97476,0.98053,0.99153,0.79044,1.22705,0.47537,0.88059,0.000795954,0.000795954,0.000795954
47,297.058,1.15537,0.45873,0.91019,0.96494,0.97508,0.98765,0.78496,1.23588,0.47241,0.87691,0.000787503,0.000787503,0.000787503
48,303.102,1.21109,0.46711,0.90897,0.97147,0.97556,0.99085,0.81461,1.13261,0.47133,0.88457,0.000778929,0.000778929,0.000778929
49,309.197,1.20007,0.47385,0.91044,0.97972,0.97878,0.99238,0.71139,1.70622,0.52726,0.90466,0.000770234,0.000770234,0.000770234
50,315.249,1.16602,0.46445,0.91167,0.97639,0.97345,0.99114,0.71947,1.60944,0.51631,0.9028,0.000761423,0.000761423,0.000761423
51,321.257,1.25492,0.47765,0.92031,0.96295,0.96925,0.98812,0.81444,1.0468,0.48908,0.872,0.0007525,0.0007525,0.0007525
52,327.357,1.16476,0.45841,0.90779,0.97004,0.97531,0.9902,0.8165,1.10497,0.45982,0.87557,0.000743468,0.000743468,0.000743468
53,333.551,1.14652,0.45245,0.90881,0.97855,0.97759,0.99277,0.72266,1.57841,0.50061,0.88615,0.000734332,0.000734332,0.000734332
54,339.695,1.1788,0.45098,0.91249,0.97767,0.97601,0.99185,0.7913,1.24687,0.46545,0.87387,0.000725094,0.000725094,0.000725094
55,345.62,1.18336,0.45849,0.90713,0.96487,0.97253,0.99013,0.81908,1.08104,0.45957,0.86762,0.000715761,0.000715761,0.000715761
56,351.924,1.25942,0.46383,0.91717,0.97306,0.97088,0.99064,0.79796,1.17662,0.48189,0.8735,0.000706335,0.000706335,0.000706335
57,357.696,1.16585,0.45106,0.91447,0.97642,0.97927,0.9919,0.75472,1.44556,0.48257,0.87925,0.00069682,0.00069682,0.00069682
58,363.952,1.11574,0.4341,0.9018,0.9734,0.98041,0.99216,0.78369,1.2376,0.45855,0.86887,0.000687222,0.000687222,0.000687222
59,370.147,1.0859,0.43461,0.89943,0.97317,0.97857,0.99228,0.83097,1.02848,0.43327,0.86059,0.000677543,0.000677543,0.000677543
60,376.55,1.10063,0.43231,0.89263,0.97334,0.97624,0.99124,0.8115,1.14064,0.44605,0.86472,0.000667789,0.000667789,0.000667789
61,382.571,1.1183,0.44049,0.89745,0.97854,0.9771,0.99219,0.68084,1.86479,0.5257,0.91059,0.000657963,0.000657963,0.000657963
62,388.522,1.08572,0.42442,0.88465,0.97598,0.97904,0.99146,0.82382,1.0756,0.42955,0.86143,0.000648071,0.000648071,0.000648071
63,394.835,1.1191,0.4293,0.89911,0.97506,0.97434,0.99227,0.78521,1.27655,0.47861,0.87823,0.000638115,0.000638115,0.000638115
64,401.014,1.10445,0.42655,0.89444,0.98045,0.98183,0.99219,0.72852,1.60267,0.4862,0.88385,0.000628101,0.000628101,0.000628101
65,407.162,1.07963,0.41454,0.8934,0.97628,0.9781,0.99196,0.79745,1.22021,0.44549,0.86482,0.000618034,0.000618034,0.000618034
66,413.435,1.15439,0.42339,0.89089,0.96944,0.97531,0.99147,0.837,0.9764,0.43056,0.85838,0.000607916,0.000607916,0.000607916
