epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1785,2.1516,1.19445,1.27545,0.80546,0.8458,0.88923,0.6192,1.63387,1.36294,1.01473,0.06755,0.000327778,0.000327778
2,44.5272,1.8111,1.05725,1.13026,0.83307,0.87303,0.85759,0.52218,1.95135,1.80915,1.03657,0.0345499,0.000661039,0.000661039
3,63.1745,1.64103,0.76279,1.05846,0.78324,0.84757,0.86265,0.58236,1.62921,1.77157,1.04401,0.00154957,0.000994013,0.000994013
4,82.0644,1.76488,0.8089,1.08383,0.37081,0.4689,0.32521,0.21765,1.82061,2.11651,1.16136,0.000999023,0.000999023,0.000999023
5,100.608,1.63544,0.82751,1.06419,0.91121,0.91102,0.96004,0.70052,1.47393,1.25126,0.97683,0.000998264,0.000998264,0.000998264
6,119.99,1.75852,0.87434,1.07357,0.87048,0.87701,0.9338,0.69432,1.42255,1.05399,1.0104,0.000997288,0.000997288,0.000997288
7,138.541,1.90119,1.02319,1.11681,0.67896,0.48078,0.5688,0.38105,2.71672,2.06428,1.40277,0.000996097,0.000996097,0.000996097
8,157.326,1.61963,0.70808,1.06548,0.88351,0.85157,0.92381,0.62707,1.62582,0.81449,1.00452,0.00099469,0.00099469,0.00099469
9,176.308,1.59768,0.71233,1.07064,0.81898,0.75877,0.83424,0.59168,1.67272,0.93312,1.08203,0.000993068,0.000993068,0.000993068
10,195.281,1.72913,0.6929,1.0867,0.85246,0.89503,0.94057,0.66315,1.6912,0.68107,1.02778,0.000991232,0.000991232,0.000991232
11,213.88,1.6755,0.6441,1.06809,0.915,0.94805,0.95995,0.66505,1.62012,0.61317,0.95309,0.000989183,0.000989183,0.000989183
12,232.683,1.64682,0.62569,1.05058,0.86833,0.89715,0.92841,0.66029,1.61777,0.6973,1.01765,0.000986922,0.000986922,0.000986922
13,251.145,1.61612,0.61309,1.05394,0.9503,0.93978,0.97593,0.66732,1.72378,0.61348,0.97825,0.000984449,0.000984449,0.000984449
14,269.66,1.58028,0.5822,1.04835,0.92246,0.94014,0.96798,0.70564,1.46944,0.59327,0.9573,0.000981765,0.000981765,0.000981765
15,288.501,1.50908,0.56133,1.02983,0.94844,0.93897,0.9762,0.66748,1.79316,0.60774,0.98939,0.000978873,0.000978873,0.000978873
16,307.182,1.408,0.53374,1.00502,0.95969,0.95434,0.98509,0.65202,1.92598,0.5748,1.02657,0.000975773,0.000975773,0.000975773
17,325.832,1.41127,0.51503,1.00851,0.95172,0.94666,0.97653,0.68025,1.66573,0.57447,0.95402,0.000972466,0.000972466,0.000972466
18,345.105,1.42958,0.5188,1.0014,0.95955,0.95046,0.98354,0.70831,1.61508,0.53998,0.96069,0.000968955,0.000968955,0.000968955
19,364.742,1.40228,0.52362,1.00017,0.95161,0.96832,0.9834,0.73977,1.4246,0.5138,0.92656,0.000965239,0.000965239,0.000965239
20,384.135,1.34965,0.51363,0.98404,0.92714,0.9406,0.97344,0.76042,1.25492,0.53447,0.92046,0.000961322,0.000961322,0.000961322
21,403.648,1.35971,0.5084,0.99088,0.94042,0.94875,0.97724,0.7697,1.23993,0.5375,0.91692,0.000957205,0.000957205,0.000957205
22,423.213,1.3456,0.49864,0.97479,0.94102,0.96263,0.98229,0.74682,1.34368,0.53128,0.91763,0.000952889,0.000952889,0.000952889
23,442.031,1.30576,0.48716,0.96635,0.95472,0.95993,0.98255,0.78954,1.20506,0.48526,0.89864,0.000948377,0.000948377,0.000948377
24,461.551,1.33698,0.48629,0.97485,0.93314,0.96366,0.97727,0.76979,1.2725,0.52474,0.91923,0.000943671,0.000943671,0.000943671
25,480.508,1.36358,0.49194,0.98334,0.95072,0.96459,0.98135,0.75547,1.34802,0.49188,0.91994,0.000938772,0.000938772,0.000938772
26,499.543,1.32156,0.47185,0.97794,0.96145,0.9618,0.98642,0.65472,1.94484,0.56833,0.99048,0.000933683,0.000933683,0.000933683
27,518.622,1.32879,0.47264,0.97942,0.96164,0.96364,0.98776,0.71655,1.62307,0.50326,0.95094,0.000928405,0.000928405,0.000928405
28,537.592,1.47453,0.50045,1.00802,0.9681,0.96853,0.98698,0.63447,2.00529,0.54936,0.9736,0.000922942,0.000922942,0.000922942
