epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6558,1.55488,1.29579,1.23361,0.75418,0.8118,0.86477,0.54166,1.19489,1.41647,1.01182,0.0675238,0.000328042,0.000328042
2,30.8725,1.19563,0.84657,1.06009,0.83437,0.8324,0.87139,0.51352,1.29445,0.99033,1.03341,0.0345173,0.000654828,0.000654828
3,41.5387,1.39577,1.08495,1.11101,0.86636,0.86529,0.90469,0.55887,1.21362,1.1253,1.04245,0.00150411,0.000975014,0.000975014
4,52.4987,1.34308,0.91594,1.09959,0.84747,0.86091,0.90856,0.55925,1.28879,1.22837,1.05328,0.0009703,0.0009703,0.0009703
5,68.8312,1.32306,0.94011,1.09491,0.88871,0.88369,0.92019,0.51623,1.46487,1.05368,1.10497,0.0009604,0.0009604,0.0009604
6,79.8268,1.29048,0.90758,1.10325,0.87918,0.8332,0.89858,0.47764,1.59512,0.94042,1.12221,0.0009505,0.0009505,0.0009505
7,90.6546,1.26154,0.90681,1.07252,0.88602,0.84673,0.90651,0.44537,1.70203,0.9053,1.12462,0.0009406,0.0009406,0.0009406
8,105.113,1.3075,0.88846,1.09711,0.88173,0.85806,0.89938,0.42476,1.69975,0.93287,1.13434,0.0009307,0.0009307,0.0009307
9,115.71,1.25481,0.81679,1.08395,0.79413,0.63886,0.71647,0.37945,1.56764,1.23638,1.15333,0.0009208,0.0009208,0.0009208
10,127.182,1.15229,0.73182,1.02805,0.88814,0.8855,0.91909,0.5757,1.26836,0.77086,1.02539,0.0009109,0.0009109,0.0009109
11,138.412,1.22298,0.75744,1.05192,0.83234,0.66873,0.78131,0.42816,1.5868,1.13838,1.14884,0.000901,0.000901,0.000901
12,148.946,1.20727,0.73993,1.05939,0.87827,0.85805,0.91494,0.42336,1.76068,0.86407,1.09295,0.0008911,0.0008911,0.0008911
13,159.679,1.17182,0.71827,1.03327,0.92174,0.88927,0.93761,0.44593,1.76584,0.79879,1.0636,0.0008812,0.0008812,0.0008812
14,171.001,1.10206,0.65611,1.00214,0.87959,0.83617,0.89708,0.51467,1.44267,0.79094,1.04394,0.0008713,0.0008713,0.0008713
15,181.621,1.08692,0.67506,1.00975,0.94554,0.93785,0.96355,0.61706,1.19722,0.64339,0.97504,0.0008614,0.0008614,0.0008614
16,192.837,1.07666,0.65914,0.99602,0.93913,0.93333,0.96569,0.61729,1.21419,0.64757,0.96392,0.0008515,0.0008515,0.0008515
17,204.247,1.11744,0.64585,1.00372,0.95052,0.92735,0.96282,0.53678,1.48336,0.7001,1.00036,0.0008416,0.0008416,0.0008416
18,215.575,1.0997,0.64191,1.01211,0.94656,0.93781,0.96658,0.60032,1.28539,0.64518,0.97964,0.0008317,0.0008317,0.0008317
19,227.613,1.03498,0.62228,0.98744,0.94978,0.93589,0.96854,0.60762,1.23838,0.63255,0.9614,0.0008218,0.0008218,0.0008218
20,238.28,1.03727,0.62515,0.98602,0.94646,0.92442,0.95758,0.62044,1.19564,0.64887,0.9601,0.0008119,0.0008119,0.0008119
21,251.837,1.01818,0.60793,0.97595,0.95321,0.9435,0.9715,0.61145,1.24449,0.6346,0.95759,0.000802,0.000802,0.000802
22,263.876,1.00771,0.60534,0.97628,0.9485,0.94454,0.97341,0.64249,1.16565,0.60426,0.94096,0.0007921,0.0007921,0.0007921
23,278.372,0.99366,0.58775,0.97227,0.9639,0.94615,0.97367,0.64217,1.13448,0.5973,0.93243,0.0007822,0.0007822,0.0007822
24,292.313,1.01705,0.59134,0.97214,0.95486,0.94962,0.97181,0.64647,1.12753,0.60665,0.94802,0.0007723,0.0007723,0.0007723
25,303.542,1.01399,0.58266,0.98184,0.95473,0.93849,0.96686,0.55937,1.45078,0.63657,0.99347,0.0007624,0.0007624,0.0007624
26,314.02,1.02783,0.56884,0.97742,0.95365,0.93287,0.96374,0.60865,1.26632,0.61767,0.96822,0.0007525,0.0007525,0.0007525
27,324.56,1.01364,0.5705,0.97385,0.95761,0.93906,0.97514,0.62883,1.2059,0.60041,0.94572,0.0007426,0.0007426,0.0007426
28,335.361,1.01452,0.55728,0.97825,0.9582,0.9406,0.97148,0.63917,1.1563,0.6125,0.93693,0.0007327,0.0007327,0.0007327
29,346.068,0.98941,0.54837,0.97379,0.95812,0.94599,0.97148,0.63157,1.15908,0.58355,0.94303,0.0007228,0.0007228,0.0007228
30,356.612,1.01922,0.55164,0.97621,0.9583,0.94796,0.97523,0.64123,1.1423,0.57379,0.92952,0.0007129,0.0007129,0.0007129
31,367.553,0.98626,0.54515,0.97028,0.95164,0.92095,0.96434,0.58456,1.32866,0.63694,0.9577,0.000703,0.000703,0.000703
32,378.711,0.96726,0.53312,0.963,0.96408,0.95233,0.97527,0.63613,1.16635,0.56753,0.93805,0.0006931,0.0006931,0.0006931
33,389.796,0.95377,0.53673,0.95255,0.96579,0.94979,0.97866,0.6875,1.0141,0.54,0.91406,0.0006832,0.0006832,0.0006832
34,401.677,0.99242,0.55078,0.96028,0.95786,0.94177,0.97311,0.61119,1.24319,0.60615,0.93769,0.0006733,0.0006733,0.0006733
35,412.399,0.99696,0.5599,0.96169,0.96105,0.9466,0.97037,0.61265,1.25379,0.60444,0.94785,0.0006634,0.0006634,0.0006634
36,422.954,0.92625,0.51785,0.95357,0.96044,0.95586,0.9762,0.65215,1.11362,0.5532,0.9263,0.0006535,0.0006535,0.0006535
37,433.995,0.92048,0.51704,0.94987,0.96206,0.94946,0.97413,0.62094,1.23393,0.5864,0.9378,0.0006436,0.0006436,0.0006436
38,444.476,0.95061,0.5226,0.9465,0.95672,0.94298,0.97543,0.67215,1.05151,0.56211,0.91885,0.0006337,0.0006337,0.0006337
39,455.037,0.94097,0.5028,0.95097,0.96442,0.94468,0.9775,0.68702,1.0138,0.53887,0.90667,0.0006238,0.0006238,0.0006238
40,468.091,0.98309,0.52741,0.95605,0.96381,0.94946,0.97575,0.61394,1.23585,0.58239,0.93535,0.0006139,0.0006139,0.0006139
41,478.598,0.96826,0.51442,0.9614,0.96708,0.94391,0.97703,0.6794,1.04418,0.54115,0.91892,0.000604,0.000604,0.000604
42,488.991,0.91513,0.48827,0.93643,0.96414,0.95314,0.97746,0.61962,1.27608,0.56723,0.93568,0.0005941,0.0005941,0.0005941
43,501.365,0.9211,0.49589,0.94425,0.96357,0.95371,0.97874,0.65103,1.16114,0.5567,0.92709,0.0005842,0.0005842,0.0005842
44,512.852,0.92224,0.49268,0.94961,0.97111,0.95655,0.97927,0.69175,1.00241,0.5144,0.90688,0.0005743,0.0005743,0.0005743
45,525.242,0.93513,0.49573,0.95096,0.9658,0.95263,0.98154,0.6728,1.04737,0.53305,0.91701,0.0005644,0.0005644,0.0005644
46,536.97,0.92746,0.497,0.93915,0.96175,0.9483,0.97702,0.6567,1.13471,0.54151,0.91822,0.0005545,0.0005545,0.0005545
47,547.484,0.90022,0.4813,0.92991,0.96512,0.9466,0.98045,0.67329,1.04956,0.51873,0.90986,0.0005446,0.0005446,0.0005446
48,557.982,0.88066,0.47535,0.93593,0.96667,0.95731,0.97932,0.68708,1.03999,0.50994,0.90937,0.0005347,0.0005347,0.0005347
49,568.495,0.88938,0.47244,0.93004,0.96704,0.95218,0.97949,0.67675,1.0737,0.51513,0.91045,0.0005248,0.0005248,0.0005248
50,580.038,0.90769,0.47723,0.93486,0.97349,0.95308,0.9817,0.68462,1.04226,0.50151,0.90588,0.0005149,0.0005149,0.0005149
51,590.79,0.88543,0.47284,0.93407,0.96945,0.95339,0.98213,0.68713,1.01056,0.50356,0.89708,0.000505,0.000505,0.000505
52,602.111,0.8749,0.46965,0.92714,0.96621,0.95716,0.98127,0.70282,0.97504,0.4952,0.89866,0.0004951,0.0004951,0.0004951
53,613.086,0.88761,0.47044,0.92805,0.97204,0.95173,0.98018,0.69656,0.99926,0.50456,0.90758,0.0004852,0.0004852,0.0004852
54,624.522,0.88583,0.46088,0.92948,0.97193,0.95339,0.98243,0.67801,1.05391,0.5068,0.90334,0.0004753,0.0004753,0.0004753
55,636.506,0.88259,0.45572,0.92729,0.96918,0.95324,0.97948,0.66092,1.09591,0.53434,0.91772,0.0004654,0.0004654,0.0004654
56,647.124,0.86781,0.45504,0.92928,0.97073,0.95535,0.98238,0.68672,1.03324,0.50371,0.90072,0.0004555,0.0004555,0.0004555
57,659.393,0.85717,0.44951,0.92044,0.96977,0.95293,0.98054,0.68725,1.01893,0.51667,0.9003,0.0004456,0.0004456,0.0004456
58,670.02,0.87477,0.45623,0.91684,0.97203,0.95937,0.98241,0.71283,0.94792,0.50323,0.89026,0.0004357,0.0004357,0.0004357
59,682.234,0.89834,0.45835,0.92418,0.97337,0.95671,0.97935,0.66507,1.13285,0.52316,0.91525,0.0004258,0.0004258,0.0004258
60,692.783,0.87239,0.4554,0.92685,0.97502,0.95377,0.98194,0.69672,1.01028,0.49373,0.89912,0.0004159,0.0004159,0.0004159
61,705.124,0.88896,0.45694,0.92315,0.95006,0.95285,0.97635,0.67715,1.04704,0.54093,0.91105,0.000406,0.000406,0.000406
62,715.769,0.85424,0.45367,0.9237,0.96512,0.94962,0.97566,0.65405,1.15806,0.52715,0.91392,0.0003961,0.0003961,0.0003961
