epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26845,2.35317,2.35707,1.43813,0.78153,0.38261,0.55716,0.25375,1.77529,2.06017,1.09948,0.00062,0.00062,0.00062
2,12.9605,1.60111,1.04177,1.09696,0.73733,0.77196,0.78567,0.40547,1.5546,1.02662,1.06929,0.00123505,0.00123505,0.00123505
3,17.3905,1.46894,0.94338,1.0617,0.78841,0.7523,0.7918,0.33977,1.91062,1.03672,1.10223,0.00182476,0.00182476,0.00182476
4,21.5602,1.45423,0.88385,1.03352,0.81389,0.80555,0.86863,0.50663,1.37651,0.87051,1.01338,0.0018812,0.0018812,0.0018812
5,25.6603,1.36838,0.85074,1.01226,0.85125,0.84311,0.89495,0.53371,1.27719,0.8793,0.99738,0.0018416,0.0018416,0.0018416
6,30.0328,1.35072,0.8165,1.00088,0.90347,0.8697,0.92062,0.5771,1.18382,0.79943,0.96417,0.001802,0.001802,0.001802
7,34.0956,1.34323,0.79064,0.99771,0.86904,0.83195,0.89725,0.47851,1.42864,0.84088,0.96934,0.0017624,0.0017624,0.0017624
8,37.9898,1.28262,0.76455,0.98602,0.87659,0.86045,0.90857,0.5452,1.26012,0.75939,0.95744,0.0017228,0.0017228,0.0017228
9,41.9349,1.26348,0.7408,0.97309,0.87148,0.8408,0.89282,0.57163,1.1512,0.75457,0.95632,0.0016832,0.0016832,0.0016832
10,46.0272,1.24189,0.7371,0.96441,0.91145,0.88867,0.93264,0.60203,1.155,0.7242,0.953,0.0016436,0.0016436,0.0016436
11,50.0417,1.21886,0.7205,0.9628,0.90839,0.88249,0.93165,0.60202,1.14074,0.71557,0.94577,0.001604,0.001604,0.001604
12,53.9522,1.19324,0.70831,0.9543,0.91703,0.89038,0.941,0.61937,1.11646,0.67591,0.94166,0.0015644,0.0015644,0.0015644
13,58.3797,1.19899,0.69285,0.95459,0.9289,0.89868,0.94228,0.61652,1.12378,0.66373,0.93354,0.0015248,0.0015248,0.0015248
14,62.2755,1.20608,0.69346,0.94777,0.9202,0.89928,0.93294,0.58652,1.19833,0.67821,0.94265,0.0014852,0.0014852,0.0014852
15,66.3274,1.20219,0.6876,0.95238,0.91829,0.88897,0.93041,0.61747,1.08981,0.66114,0.93238,0.0014456,0.0014456,0.0014456
16,70.4488,1.17093,0.66764,0.94049,0.91801,0.90362,0.94474,0.61311,1.10871,0.64374,0.92487,0.001406,0.001406,0.001406
17,74.6028,1.20158,0.69117,0.9432,0.93043,0.89979,0.94226,0.62413,1.09741,0.65437,0.92503,0.0013664,0.0013664,0.0013664
18,78.8954,1.18715,0.67367,0.95003,0.9187,0.91193,0.94552,0.63544,1.07307,0.62584,0.91834,0.0013268,0.0013268,0.0013268
19,83.1123,1.17506,0.65907,0.94356,0.93562,0.9113,0.94625,0.64338,1.04904,0.6177,0.91078,0.0012872,0.0012872,0.0012872
20,87.189,1.13466,0.64474,0.92895,0.92977,0.90665,0.94907,0.64691,1.02971,0.60396,0.90669,0.0012476,0.0012476,0.0012476
21,91.3783,1.15046,0.63952,0.92962,0.93179,0.91085,0.94512,0.64279,1.04467,0.6087,0.90796,0.001208,0.001208,0.001208
22,95.6905,1.13516,0.64389,0.92733,0.93836,0.90858,0.9482,0.65336,1.01669,0.59925,0.90559,0.0011684,0.0011684,0.0011684
23,100.066,1.09186,0.61766,0.92035,0.94539,0.91145,0.95149,0.64864,1.04306,0.59286,0.91505,0.0011288,0.0011288,0.0011288
24,104.215,1.12416,0.62835,0.92609,0.92938,0.90324,0.94919,0.62674,1.08653,0.6176,0.90484,0.0010892,0.0010892,0.0010892
25,108.188,1.10196,0.62518,0.92238,0.93279,0.91078,0.9506,0.64251,1.05458,0.60391,0.90365,0.0010496,0.0010496,0.0010496
26,112.262,1.11747,0.61745,0.91923,0.94748,0.91711,0.95778,0.66082,1.00174,0.57546,0.8979,0.00101,0.00101,0.00101
27,116.423,1.12372,0.62032,0.91949,0.93964,0.90904,0.95281,0.64962,1.01704,0.60028,0.90259,0.0009704,0.0009704,0.0009704
28,120.351,1.11841,0.61915,0.92023,0.93756,0.91552,0.94911,0.64321,1.04553,0.58507,0.90297,0.0009308,0.0009308,0.0009308
29,124.151,1.0992,0.60865,0.91857,0.93678,0.9187,0.94655,0.65867,1.00627,0.586,0.89668,0.0008912,0.0008912,0.0008912
30,128.363,1.07143,0.59611,0.90983,0.95206,0.9196,0.95615,0.65299,1.00767,0.57394,0.89592,0.0008516,0.0008516,0.0008516
31,132.411,1.06587,0.5918,0.9143,0.94831,0.92714,0.96177,0.67051,0.99094,0.56233,0.89208,0.000812,0.000812,0.000812
32,136.609,1.05496,0.58808,0.90908,0.94202,0.91673,0.95774,0.67173,0.98492,0.57152,0.88616,0.0007724,0.0007724,0.0007724
33,140.681,1.06145,0.58504,0.90586,0.94951,0.92412,0.95906,0.65831,0.9904,0.56704,0.88912,0.0007328,0.0007328,0.0007328
34,144.751,1.06625,0.58445,0.91172,0.95177,0.91982,0.95759,0.66086,1.00682,0.54697,0.8914,0.0006932,0.0006932,0.0006932
35,148.725,1.06449,0.58211,0.91021,0.9461,0.92138,0.95767,0.66686,0.98478,0.55393,0.89008,0.0006536,0.0006536,0.0006536
36,152.751,1.05537,0.57859,0.90562,0.94781,0.92261,0.96072,0.67007,0.99318,0.55361,0.89255,0.000614,0.000614,0.000614
37,156.888,1.07244,0.58187,0.9147,0.94166,0.91975,0.96068,0.67824,0.97535,0.54687,0.89273,0.0005744,0.0005744,0.0005744
38,161.325,1.0458,0.57002,0.90936,0.9432,0.91809,0.95802,0.66754,0.99216,0.55488,0.89248,0.0005348,0.0005348,0.0005348
39,165.405,1.033,0.56451,0.89951,0.94539,0.92964,0.95871,0.6807,0.95866,0.53323,0.883,0.0004952,0.0004952,0.0004952
40,169.547,1.03987,0.56255,0.90517,0.94617,0.93075,0.96029,0.67721,0.966,0.53472,0.88701,0.0004556,0.0004556,0.0004556
41,176.08,1.03101,0.62333,0.90639,0.94795,0.92322,0.95924,0.66502,0.98955,0.57326,0.89246,0.000416,0.000416,0.000416
42,180.094,1.02418,0.57989,0.9027,0.94411,0.92774,0.96076,0.66608,0.99489,0.55378,0.88974,0.0003764,0.0003764,0.0003764
43,184.059,1.02579,0.5779,0.90007,0.9549,0.91839,0.96089,0.66878,0.97625,0.55397,0.88991,0.0003368,0.0003368,0.0003368
44,188.151,1.00107,0.55853,0.89957,0.94633,0.93097,0.96234,0.6756,0.96322,0.54454,0.8866,0.0002972,0.0002972,0.0002972
45,192.003,1.00859,0.55974,0.89607,0.95425,0.9283,0.96375,0.67822,0.96083,0.53482,0.88721,0.0002576,0.0002576,0.0002576
46,195.984,0.99307,0.54649,0.89673,0.94693,0.93139,0.96454,0.68048,0.95526,0.53012,0.88479,0.000218,0.000218,0.000218
47,199.759,0.99895,0.55446,0.89344,0.95359,0.92987,0.9641,0.68297,0.94537,0.52751,0.88222,0.0001784,0.0001784,0.0001784
48,203.824,0.99289,0.54679,0.89276,0.94876,0.93242,0.96288,0.68557,0.9509,0.52243,0.88047,0.0001388,0.0001388,0.0001388
49,208.031,0.98599,0.54376,0.89181,0.94836,0.93317,0.96488,0.6868,0.93733,0.51653,0.881,9.92e-05,9.92e-05,9.92e-05
50,212.181,0.96615,0.5339,0.89112,0.94924,0.93709,0.9616,0.68265,0.95167,0.51623,0.88197,5.96e-05,5.96e-05,5.96e-05
