epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6669,2.49791,1.29765,1.23094,0.71874,0.71112,0.79532,0.50457,1.82761,1.68253,1.01947,0.0675238,0.000328042,0.000328042
2,26.0143,1.90342,0.87463,1.04915,0.6034,0.84342,0.57143,0.35709,1.91448,inf,1.05289,0.0345237,0.000661304,0.000661304
3,37.0906,2.14763,1.12625,1.0979,0.83508,0.82268,0.87368,0.54229,1.98133,1.16667,1.04181,0.00152338,0.000994277,0.000994277
4,48.6444,2.05457,0.9031,1.08097,0.81873,0.83195,0.88686,0.54513,2.09227,1.09372,1.03841,0.000999023,0.000999023,0.000999023
5,60.2484,2.09673,0.91458,1.09808,0.87521,0.87751,0.9222,0.51909,2.29988,1.06184,1.10816,0.000998264,0.000998264,0.000998264
6,71.2935,2.10829,0.95476,1.10823,0.61835,0.84223,0.59619,0.29522,2.67319,inf,1.11347,0.000997288,0.000997288,0.000997288
7,81.9021,1.98004,0.87947,1.06555,0.85888,0.89621,0.91215,0.52219,2.35623,0.93337,1.06487,0.000996097,0.000996097,0.000996097
8,92.7093,1.96936,0.84778,1.06267,0.87461,0.88837,0.9323,0.55558,2.17149,0.82072,1.04363,0.00099469,0.00099469,0.00099469
9,104.135,1.99152,0.81029,1.07239,0.82472,0.83919,0.87224,0.47617,2.35394,0.8665,1.06345,0.000993068,0.000993068,0.000993068
10,115.517,2.01844,0.82988,1.07326,0.88108,0.84271,0.89672,0.48897,2.35958,0.86775,1.07914,0.000991232,0.000991232,0.000991232
11,128.378,1.97179,0.79089,1.05804,0.91393,0.86665,0.92531,0.50167,2.42206,0.83264,1.0662,0.000989183,0.000989183,0.000989183
12,140.247,1.81845,0.73049,1.03383,0.9173,0.89178,0.94503,0.59565,2.02564,0.72563,1.00151,0.000986922,0.000986922,0.000986922
13,152.328,1.8529,0.71956,1.0394,0.9216,0.89938,0.93719,0.48065,2.56499,0.8018,1.06025,0.000984449,0.000984449,0.000984449
14,167.383,1.88241,0.73006,1.03447,0.89842,0.86152,0.91816,0.48393,2.48231,0.82488,1.04063,0.000981765,0.000981765,0.000981765
15,193,1.78868,0.68264,1.02078,0.91516,0.91293,0.94702,0.5229,2.412,0.73364,1.03804,0.000978873,0.000978873,0.000978873
16,204.194,1.71067,0.64329,1.01187,0.94317,0.91869,0.96552,0.63795,1.8332,0.64258,0.96386,0.000975773,0.000975773,0.000975773
17,215.924,1.73166,0.6517,1.00493,0.93348,0.92093,0.95685,0.60897,1.90876,0.67919,0.97714,0.000972466,0.000972466,0.000972466
18,228.194,1.78663,0.65866,1.02056,0.9437,0.91462,0.95792,0.60858,1.95073,0.66962,0.97281,0.000968955,0.000968955,0.000968955
19,242.422,1.71659,0.63205,0.99998,0.44134,0.52798,0.42147,0.25074,2.15358,1.71326,1.06707,0.000965239,0.000965239,0.000965239
20,262.279,1.6625,0.61166,0.99234,0.93095,0.91779,0.96407,0.63409,1.82422,0.65754,0.96082,0.000961322,0.000961322,0.000961322
21,289.935,1.69321,0.62326,0.9997,0.93806,0.92593,0.95663,0.57693,2.1409,0.6552,0.98231,0.000957205,0.000957205,0.000957205
22,313.067,1.65796,0.61185,0.98916,0.92695,0.91145,0.95468,0.62557,1.83504,0.64923,0.94926,0.000952889,0.000952889,0.000952889
23,325.045,1.64093,0.62109,0.98284,0.94187,0.91655,0.96124,0.59941,1.99341,0.65314,0.96251,0.000948377,0.000948377,0.000948377
24,345.552,1.66928,0.60364,0.98244,0.95739,0.94554,0.97174,0.59942,2.09126,0.63564,0.96289,0.000943671,0.000943671,0.000943671
25,358.221,1.67036,0.61068,0.9821,0.94345,0.93371,0.96273,0.59698,2.12374,0.64592,0.97593,0.000938772,0.000938772,0.000938772
26,369.788,1.59577,0.58662,0.97225,0.94575,0.92825,0.96179,0.58675,2.0837,0.63595,0.96505,0.000933683,0.000933683,0.000933683
27,380.998,1.56923,0.58377,0.96746,0.92295,0.90355,0.9434,0.63682,1.72903,0.63382,0.94305,0.000928405,0.000928405,0.000928405
28,393.022,1.59083,0.58374,0.97302,0.95022,0.9475,0.97307,0.64467,1.81277,0.58315,0.93844,0.000922942,0.000922942,0.000922942
29,406.694,1.56739,0.57143,0.96858,0.95522,0.92382,0.95736,0.55412,2.2168,0.64608,0.96464,0.000917296,0.000917296,0.000917296
30,418.176,1.56258,0.56829,0.96742,0.95318,0.92819,0.9667,0.63883,1.85136,0.60976,0.93265,0.000911469,0.000911469,0.000911469
31,429.811,1.56852,0.56097,0.97045,0.9425,0.93954,0.97103,0.65478,1.73244,0.59922,0.92825,0.000905463,0.000905463,0.000905463
32,441.927,1.52122,0.54251,0.96087,0.96295,0.94881,0.97809,0.66041,1.75959,0.56181,0.9315,0.000899282,0.000899282,0.000899282
33,453.362,1.5597,0.54761,0.96654,0.96208,0.94928,0.97895,0.65024,1.77579,0.56102,0.93725,0.000892928,0.000892928,0.000892928
34,464.378,1.52227,0.53047,0.96005,0.96334,0.95136,0.97328,0.62273,2.01395,0.57962,0.9554,0.000886404,0.000886404,0.000886404
35,475.778,1.53333,0.53278,0.95927,0.9631,0.93513,0.96887,0.6048,2.09193,0.61419,0.95138,0.000879713,0.000879713,0.000879713
36,486.581,1.51883,0.54493,0.9665,0.96013,0.94781,0.97552,0.64631,1.81465,0.55988,0.92811,0.000872857,0.000872857,0.000872857
37,497.665,1.49267,0.52656,0.95917,0.96534,0.94105,0.97963,0.6611,1.78921,0.57542,0.92854,0.000865839,0.000865839,0.000865839
38,510.3,1.54497,0.53916,0.9538,0.95389,0.92374,0.97058,0.67334,1.66107,0.58727,0.92286,0.000858664,0.000858664,0.000858664
39,521.799,1.50978,0.52673,0.95428,0.95087,0.9343,0.97627,0.69352,1.58466,0.5534,0.92817,0.000851333,0.000851333,0.000851333
40,533.068,1.5459,0.52567,0.95827,0.96298,0.94977,0.97543,0.62245,1.92498,0.57469,0.93431,0.000843851,0.000843851,0.000843851
41,544.047,1.55258,0.52823,0.95773,0.95981,0.94539,0.97577,0.64003,1.83708,0.57392,0.93648,0.00083622,0.00083622,0.00083622
42,554.87,1.48738,0.50475,0.94453,0.96206,0.93981,0.97836,0.63288,1.93965,0.5712,0.92592,0.000828443,0.000828443,0.000828443
43,566.03,1.53704,0.51306,0.94858,0.96424,0.95158,0.98207,0.67699,1.66105,0.53083,0.90634,0.000820525,0.000820525,0.000820525
44,577.145,1.54127,0.51025,0.95043,0.95961,0.95384,0.97887,0.69714,1.50283,0.53102,0.91032,0.000812468,0.000812468,0.000812468
45,588.415,1.60037,0.53579,0.96834,0.96609,0.94557,0.97899,0.64511,1.84133,0.56671,0.92886,0.000804277,0.000804277,0.000804277
46,598.919,1.46926,0.50202,0.93944,0.96363,0.95116,0.97897,0.69966,1.55381,0.51266,0.90288,0.000795954,0.000795954,0.000795954
47,610.698,1.41004,0.47555,0.92642,0.96774,0.95493,0.97987,0.67602,1.67314,0.5283,0.91439,0.000787503,0.000787503,0.000787503
48,621.137,1.4418,0.48788,0.94177,0.95845,0.94931,0.97332,0.68889,1.6088,0.51286,0.91503,0.000778929,0.000778929,0.000778929
49,631.99,1.47633,0.49232,0.939,0.96774,0.95414,0.97908,0.63746,1.9115,0.54646,0.92706,0.000770234,0.000770234,0.000770234
50,642.643,1.52901,0.50657,0.95499,0.96609,0.95248,0.98013,0.639,1.91871,0.54703,0.92611,0.000761423,0.000761423,0.000761423
