epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2607,2.76147,1.96323,1.26519,0.73046,0.51428,0.59663,0.27326,2.72263,1.96073,1.18164,0.0675238,0.000328042,0.000328042
2,43.8312,2.29445,1.32564,1.13552,0.7354,0.73646,0.7829,0.41752,2.27042,1.21405,1.10241,0.0345237,0.000661304,0.000661304
3,65.5846,2.53121,1.33918,1.16995,0.75438,0.76169,0.79378,0.29735,3.18644,1.27538,1.23041,0.00152338,0.000994277,0.000994277
4,86.0544,2.48138,1.31352,1.18539,0.76747,0.79454,0.83289,0.42342,2.6465,1.14552,1.12202,0.000999023,0.000999023,0.000999023
5,105.17,2.48252,1.16421,1.17096,0.83326,0.77478,0.85697,0.34343,3.16806,1.16094,1.17195,0.000998264,0.000998264,0.000998264
6,125.155,2.26328,1.11762,1.1227,0.85922,0.83482,0.9017,0.43812,2.67982,1.08091,1.14353,0.000997288,0.000997288,0.000997288
7,148.687,2.115,1.05958,1.07763,0.88777,0.8404,0.91167,0.45997,2.5487,1.02131,1.09525,0.000996097,0.000996097,0.000996097
8,165.724,2.05856,0.97254,1.06444,0.8848,0.84232,0.90928,0.42078,2.85198,0.99254,1.13317,0.00099469,0.00099469,0.00099469
9,183.17,2.04491,0.98581,1.07217,0.88911,0.86997,0.92987,0.50488,2.33475,0.92339,1.06523,0.000993068,0.000993068,0.000993068
10,205.064,2.01612,0.9141,1.04638,0.88881,0.8582,0.92308,0.50677,2.38599,0.94811,1.04966,0.000991232,0.000991232,0.000991232
11,219.199,1.99525,0.9049,1.04686,0.92408,0.87856,0.94171,0.57399,2.02015,0.89964,1.02205,0.000989183,0.000989183,0.000989183
12,229.848,1.86312,0.83101,1.01811,0.91906,0.9018,0.94877,0.52861,2.36156,0.85073,1.02887,0.000986922,0.000986922,0.000986922
13,239.453,1.94119,0.84797,1.03069,0.91823,0.89335,0.9406,0.48909,2.49119,0.87748,1.04061,0.000984449,0.000984449,0.000984449
14,251.284,1.92792,0.81048,1.02611,0.89877,0.87726,0.93047,0.50491,2.35255,0.88584,1.03866,0.000981765,0.000981765,0.000981765
15,257.742,1.86194,0.79423,1.02176,0.92907,0.9116,0.9585,0.58818,2.03279,0.77733,1.00551,0.000978873,0.000978873,0.000978873
16,264.162,1.83919,0.78588,1.00464,0.90867,0.91254,0.95467,0.59509,1.96227,0.76438,0.99283,0.000975773,0.000975773,0.000975773
