epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0691,2.49699,1.36646,1.24304,0.77387,0.79032,0.85207,0.52775,2.02936,1.40116,1.05023,0.0675238,0.000328042,0.000328042
2,37.181,1.90004,0.86805,1.06455,0.83869,0.85101,0.90408,0.53789,2.03318,1.02675,1.0971,0.0345237,0.000661304,0.000661304
3,53.293,2.21775,1.03941,1.11577,0.79241,0.78833,0.81619,0.4386,2.24734,1.66043,1.09249,0.00152338,0.000994277,0.000994277
4,68.8347,2.00249,0.97277,1.09039,0.80785,0.82727,0.85607,0.51278,2.01911,0.97361,1.0536,0.000999023,0.000999023,0.000999023
5,84.1309,2.04225,0.86964,1.09404,0.77615,0.72107,0.77835,0.45811,2.32947,1.0165,1.22107,0.000998264,0.000998264,0.000998264
6,99.2403,2.16568,0.93939,1.12472,0.70333,0.36121,0.41915,0.19281,4.15501,2.18002,1.77407,0.000997288,0.000997288,0.000997288
7,115.199,2.17953,0.94982,1.13374,0.70854,0.54005,0.62777,0.29976,2.83075,1.46156,1.33143,0.000996097,0.000996097,0.000996097
8,130.368,2.21923,0.94555,1.12091,0.87482,0.85186,0.90025,0.46551,2.58188,0.92299,1.11654,0.00099469,0.00099469,0.00099469
9,146.436,2.05134,0.91001,1.1073,0.90962,0.91399,0.93745,0.56779,2.20063,0.84807,1.04818,0.000993068,0.000993068,0.000993068
10,162.591,1.9306,0.77982,1.06601,0.82122,0.87268,0.90448,0.56594,1.92547,0.83319,1.0559,0.000991232,0.000991232,0.000991232
11,178.38,2.10573,0.82179,1.12476,0.92324,0.89448,0.92837,0.53978,2.20672,0.75971,1.08397,0.000989183,0.000989183,0.000989183
12,194.44,2.12769,0.80798,1.11762,0.87585,0.82426,0.8986,0.45707,2.51866,0.88386,1.06507,0.000986922,0.000986922,0.000986922
